2,8.0000,0,7.0000,0,73.0000,5,71.0000,29
4,6.0000,0,5.0000,0,77.0000,2,72.0000,36
8,6.0000,0,4.0000,0,73.0000,3,70.0000,80
16,10.0000,0,6.0000,0,81.0000,6,74.0000,161
32,6.0000,0,7.0000,0,77.0000,8,81.0000,164
64,6.0000,0,6.0000,0,79.0000,12,91.0000,296
128,14.0000,0,11.0000,0,93.0000,16,75.0000,460
256,11.0000,0,73.0000,0,84.0000,31,90.0000,774
512,71.0000,0,80.0000,0,76.0000,48,79.0000,1567
1024,88.0000,0,83.0000,0,90.0000,93,79.0000,3171
2048,87.0000,1,105.0000,0,102.0000,157,91.0000,5813
4096,100.0000,1,110.0000,2,113.0000,338,84.0000,12021
8192,60.0000,2,113.0000,7,110.0000,613,95.0000,23778
16384,60.0000,2,113.0000,12,113.0000,1204,102.0000,47597
32768,60.0000,5,113.0000,22,112.0000,2384,89.0000,97413
